A-TOOLS MESH DATA V1.0
Feature-Path: :/features/features/
Screenshot-Path: :/screenshots/screenshots/
N-Samples: 1048576
N-Bins: 256
N-Vox: 32
N-Test-Angles: 8
N-Test-Steps: 256
Ini-Step: -10
End-Step: 10
N-Models: 495
N-Info: 8
----Info----
OFRENDA
NO_ELEMENT
ENTRADA
INVENTARIO
UBICACION
FUNCION
MATERIA PRIMA
DESCRIPCION
----Data----
0011_0161_0001,11,161_0001,840,10-162935,S5-V3,FIGURA ANTROPOMORFA,PIEDRA BLANCA,TLALOC
0012_0001_0001,12,001_0001,829,10-220044,S2-V16,BRASERO,PIEDRA VOLCANICA,????
0012_0002_0001,12,002_0001,1916,10-263348,OF12-P01,OLLA TLALOC,PIEDRA VERDE,????
0012_0003_0001,12,003_0001,830,10-252154,OF12-P02,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0012_0004_0001,12,004_0001,1917,10-251489,OF12-P01,OLLA TLALOC,PIEDRA VERDE,????
0012_0006_0001,12,006_0001,1918,10-252033,OF12-P01,OLLA TLALOC,PIEDRA VERDE,????
0013_0021_0001,13,001_0001,????,????,????,????,????,????
0013_0037_0001,13,037_0001,1694,10-220050,OF13-P17,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,XIUHTECUHTLI
0013_0038_0001,13,038_0001,1695,10-220308,S5-V4,OLLA TLALOC,PIEDRA VOLCANICA,????
0013_0038_0001_0002,13,038_0001,1695,10-220308,S5-V4,OLLA TLALOC,PIEDRA VOLCANICA,????
0013_0038_0002,13,038_0002,1696,10-220308 2/2,S5-V4,TAPA DE OLLA TLALOC,PIEDRA VOLCANICA,????
0013_0050_0001,13,050_0001,1711,10-252073 3/7,OF13-P11,PREFORMA,PEDERNAL,EN EL # DE INVENTARIO TIENE NUMEROS EXTRA 3/7
0013_0051_0001,13,051_0001,1712,10-252073 2/7,OF13-P11,PREFORMA,PEDERNAL,EN EL # DE INVENTARIO TIENE NUMEROS EXTRA 2/7
0013_0071_0001,13,071_0001,1739,10-252893,OF13-R01,FIGURA ANTROPOMORFA,COPAL,????
0013_0171_0001,13,171_0001,1849,10-252058 5/8,OF13-C01,LANZADARDOS,CONCHA,EN EL # DE INVENTARIO TIENE NUMEROS EXTRA 5/8
0013_0193_0001,13,193_0001,1874,10-252058 6/8,OF13-C01,LANZADARDOS,CONCHA,EN EL # DE INVENTARIO TIENE NUMEROS EXTRA 6/8
0013_0211_0001,13,211_0001,1892,10-252058 1/8,OF13-C01,LANZADARDOS,CONCHA,EN EL # DE INVENTARIO TIENE NUMEROS EXTRA 1/8
0015_0024_0001,15,024_0001,994,10-252214,OF15-P04,FIGURA ANTROPOMORFA,PIEDRA VERDE,TLALOC
0015_0025_0001,15,025_0001,1000,10-162938,S5-V3,FIGURA ANTROPOMORFA,PIEDRA VERDE,TLALOC
0018_0001_0001,18,001_0001,1026,10-251554,OF18-P03,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0002_0001,18,002_0001,1027,10-251551,OF18-P02,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0003_0001,18,003_0001,1028,10-251553,OF18-P02,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0004_0001,18,004_0001,1029,10-251558,OF18-P03,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0005_0001,18,005_0001,1030,10-251559,OF18-P03,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0006_0001,18,006_0001,1031,10-251560,OF18-P03,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0007_0001,18,007_0001,1032,10-251557,OF18-P03,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0008_0001,18,008_0001,1033,10-251561,OF18-P02,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0009_0001,18,009_0001,1034,10-251562,OF18-P03,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0010_0001,18,010_0001,1035,10-251563,OF18-P02,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0011_0001,18,011_0001,1036,10-251555,OF18-P02,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0012_0001,18,012_0001,1037,10-251564,OF18-P02,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0018_0013_0001,18,013_0001,1038,10-251556,OF18-P03,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0001_0001,19,001_0001,1050,10-252224,S3-12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0002_0001,19,002_0001,1051,10-252227,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0003_0001,19,003_0001,1052,10-252228,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0004_0001,19,004_0001,1053,10-252229,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0005_0001,19,005_0001,1054,10-252230,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0006_0001,19,006_0001,1055,10-252231,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0007_0001,19,007_0001,1056,10-252232,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0008_0001,19,008_0001,1057,10-252233,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0009_0001,19,009_0001,1058,10-252155,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0010_0001,19,010_0001,1059,10-252234,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0011_0001,19,011_0001,1060,10-252235,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0012_0001,19,012_0001,1061,10-252236,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0019_0013_0001,19,013_0001,1062,10-252237,S3-V12,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0020_0013_0001,20,013_0001,1105,10-168801,S3-V14,MASCARA,PIEDRA VERDE,????
0020_0014_0001,20,014_0001,1332,10-251933,OF20-P20,FIGURA ANTROPOMORFA,PIEDRA BLANCA,????
0020_0042_0001,20,042_0001,1161,10-252156,S3-V09,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0020_0046_0001,20,046_0001,1167,10-252159,S3-V9,MASCARA,PIEDRA VERDE,????
0020_0055_0001,20,055_0001,1176,10-220047,S3-V9,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0020_0056_0001,20,056_0001,1177,10-265451,OF20_P04,MASCARA,PIEDRA VERDE,????
0020_0058_0001,20,058_0001,1179,10-250231,OF20-B02,CUNA DEFORMATORIA CON REPRESENTACION DE CONCHA,BARRO,????
0020_0065_0001,20,065_0001,1243,10-251935,S3-V8,MASCARA,PIEDRA VERDE,????
0020_0067_0001,20,067_0001,1272,10-251937,OF20-P23,CONTENEDOR FITOMORFO,PIEDRA VERDE,????
0020_0072_0001,20,072_0001,1389,10-220304,OF20-P01,FIGURA ANTROPOMORFA,PIEDRA VOLCANICA,XIUHTECUHTLI
0020_0075_0001,20,075_0001,1383,10-252160,S2-V14,MASCARA,PIEDRA VERDE,????
0020_0076_0001,20,076_0001,1384,10-253087,OF20-P19,FIGURA ANTROPOMORFA,PIEDRA BLANCA,TLALOC
0020_0077_0001,20,077_0001,1386,10-252161,S2-V14,MASCARA,PIEDRA VERDE,????
0020_0078_0001,20,078_0001,1318,10-220261,OF20-P10,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0020_0100_0001,20,100_0001,1467,10-252162,OF20-P06,MASCARA,PIEDRA VERDE,????
0020_0103_0001,20,103_0001,1480,10-252158,OF20-P11,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0020_0105_0001,20,105_0001,1484,10-252157,OF20-P16,FIGURA ANTROPOMORFA,PIEDRA NEGRA,????
0020_0106_0001,20,106_0001,1487,10-251936,S3-V8,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0020_0132_0001,20,132_0001,1557,10-169984,OF20-P03,FIGURA REPRESENTACION TLALOC,PIEDRA VOLCANICA,????
0020_0148_0001,20,148_0001,1574,10-265574,OF20-R01,FIGURA ANTROPOMORFA,COPAL,????
